"troco", "naiveRecursivo", "algoritmoPD"
10, 0.00000083, 0.00002644
20, 0.00003946, 0.00000636
40, 0.00946888, 0.00003501
50, 0.00000078, 0.00003262
70, 54.259704995, 0.00001889
80, 1387.118667178, 0.00004312
100, 0.00000096, 0.00004707
200, 36000 , 0.00007406
440, , 0.00014749
500, , 0.00019165
1000, , 0.00027804
2000, , 0.00052963
4000, , 0.00104496
8000, , 0.0021132
16000, , 0.00420022
32000, , 0.00840731
64000, , 0.01699
128000, , 0.033995
256000, , 0.073223
512000, , 0.135748
1000000, , 0.289618
2000000, , 0.529421
4000000, , 1.065758069
8000000, , 2.165695721
10000000, , 2.763755124
20000000, , 5.663678856
40000000, , 11.100329251
80000000, , 22.757792581
100000000, , 27.714299842
200000000, , 54.982662592
